series,study,study_short,condition,organism,replicate_idx,replicate_label,classifier,reads,bases,dna_pg,reads_per_fg,bases_per_fg,verified,source,source_detail,provenance_note,fold_reads_vs_round1_mean,fold_bases_vs_round1_mean
prior study,Mojarro et al. 2019,Mojarro et al.,2 pg Bacillus spizizenii DNA,Bacillus spizizenii,0.0,n/a,published_table1,5.0,5270.0,2.0,0.0025,2.635,True,published_table1,"Mojarro A, Hachey J, Bailey R, Brown M, Doebler R, Ruvkun G, Zuber MT, Carr CE. 'Nucleic Acid Extraction and Sequencing from Low-Biomass Synthetic Mars Analog Soils for In Situ Life Detection.' Astrobiology 2019;19(9):1139-1152. doi:10.1089/ast.2018.1929. PMC6708270. Table 1 'Low-Input Carrier Sequencing Metrics', row 'B. subtilis reads': Number of reads = 5; Total bases = 5,270; min 848 bp, max 1,559 bp, median 967 bp. Input mass 2 pg from the abstract.","VERIFIED against the published Table 1. Both coordinates of this point are now citable: reads_per_fg = 5/(2*1000) = 0.0025 and bases_per_fg = 5270/(2*1000) = 2.635. Table 1 also reports the whole run for context - 1,303,007 reads and 8,698,026,598 bases total, of which only 29 reads were non-lambda - which is the same carrier-dominated regime this study operates in. Note the target read median of 967 bp, directly comparable to the per-class read lengths this pipeline reports.",60.405867666666666,159.1324424794434
prior study,Zorzano et al. 2025,Zorzano et al.,Blank,metagenome,0.0,pooled (per 1.5 g),kraken2_q1,213.0,114079.0,504.90630975143404,0.0004218604439799141,0.22594092764687618,True,kraken2_reanalysis,"workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H4 (hits), I4 (hit bases), O4 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1","Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).",357.9730484848607,1855.856706885264
prior study,Zorzano et al. 2025,Zorzano et al.,Microbialite (2800 a),metagenome,0.0,pooled (per 1.5 g),kraken2_q1,1186.0,2464744.0,11420.0,0.00010385288966725044,0.21582697022767075,True,kraken2_reanalysis,"workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H5 (hits), I5 (hit bases), O5 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1","Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass is the sum of all replicate Qubit readings in Zorzano Supplementary Table 1.",1454.1210133923553,1942.8247799198077
prior study,Zorzano et al. 2025,Zorzano et al.,"Microbialites (2800 a), 0.86 MGy",metagenome,0.0,pooled (per 1.5 g),kraken2_q1,497.0,1938118.0,5320.0,9.342105263157894e-05,0.3643078947368421,True,kraken2_reanalysis,"workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H6 (hits), I6 (hit bases), O6 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1","Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass is the sum of all replicate Qubit readings in Zorzano Supplementary Table 1.",1616.495050234742,1150.987919809492
prior study,Zorzano et al. 2025,Zorzano et al.,"Microbialites (2800 a), 10.45 MGy",metagenome,0.0,pooled (per 1.5 g),kraken2_q1,691.0,1045059.0,1908.727533460803,0.00036202128794522894,0.547516071141466,True,kraken2_reanalysis,"workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H7 (hits), I7 (hit bases), O7 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1","Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).",417.1430636684383,765.8478134881849
prior study,Zorzano et al. 2025,Zorzano et al.,Stromatolites (541 Ma),metagenome,0.0,pooled (per 1.5 g),kraken2_q1,683.0,1355570.0,2145.330783938815,0.0003183658227035814,0.6318699242786147,True,kraken2_reanalysis,"workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H8 (hits), I8 (hit bases), O8 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1","Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).",474.3432190184272,663.6080778999735
prior study,Zorzano et al. 2025,Zorzano et al.,"Stromatolites (541 Ma), 10.45 MGy",metagenome,0.0,pooled (per 1.5 g),kraken2_q1,653.0,1817749.0,2631.11759082218,0.00024818351041313533,0.6908657394639607,True,kraken2_reanalysis,"workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H9 (hits), I9 (hit bases), O9 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1","Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).",608.479866028497,606.939904501093
prior study,Zorzano et al. 2025,Zorzano et al.,Oxide iron formation (2930 Ma),metagenome,0.0,pooled (per 1.5 g),kraken2_q1,663.0,2198489.0,3147.738049713193,0.00021062743771210868,0.6984345473729353,True,kraken2_reanalysis,"workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H10 (hits), I10 (hit bases), O10 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1","Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).",716.9752944204621,600.3626073631734
prior study,Zorzano et al. 2025,Zorzano et al.,"Oxide iron formation (2930 Ma), 10.45 MGy",metagenome,0.0,pooled (per 1.5 g),kraken2_q1,124.0,317393.0,530.2868068833651,0.00023383572510276199,0.5985308249801689,True,kraken2_reanalysis,"workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H11 (hits), I11 (hit bases), O11 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1","Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).",645.8152153624148,700.5720815585838
prior study,Zorzano et al. 2025,Zorzano et al.,Carbonate formation (2930 Ma),metagenome,0.0,pooled (per 1.5 g),kraken2_q1,645.0,1341325.0,2180.46845124283,0.00029580799466846726,0.6151545092227625,True,kraken2_reanalysis,"workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H12 (hits), I12 (hit bases), O12 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1","Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).",510.5158477407596,681.6401077237157
