study	study_short	condition	organism	replicate_idx	replicate_label	row_type	classifier	reads	bases	dna_pg	dna_basis	reads_per_fg	bases_per_fg	verified	source	source_detail	provenance_note
Mojarro et al. 2019	Mojarro et al.	2 pg Bacillus spizizenii DNA	Bacillus spizizenii	0	n/a	sample	published_table1	5	5270	2	stated_input_mass	0.0025	2.635	TRUE	published_table1	Mojarro A, Hachey J, Bailey R, Brown M, Doebler R, Ruvkun G, Zuber MT, Carr CE. 'Nucleic Acid Extraction and Sequencing from Low-Biomass Synthetic Mars Analog Soils for In Situ Life Detection.' Astrobiology 2019;19(9):1139-1152. doi:10.1089/ast.2018.1929. PMC6708270. Table 1 'Low-Input Carrier Sequencing Metrics', row 'B. subtilis reads': Number of reads = 5; Total bases = 5,270; min 848 bp, max 1,559 bp, median 967 bp. Input mass 2 pg from the abstract.	VERIFIED against the published Table 1. Both coordinates of this point are now citable: reads_per_fg = 5/(2*1000) = 0.0025 and bases_per_fg = 5270/(2*1000) = 2.635. Table 1 also reports the whole run for context - 1,303,007 reads and 8,698,026,598 bases total, of which only 29 reads were non-lambda - which is the same carrier-dominated regime this study operates in. Note the target read median of 967 bp, directly comparable to the per-class read lengths this pipeline reports.
Zorzano et al. 2025	Zorzano et al.	Blank	metagenome	0	pooled (per 1.5 g)	sample	published_squeezemeta	28	1729	504.90630975143404	back_calculated_from_1.046_Mbp_per_ng	5.545583301144411e-05	0.0034243976884566736	TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' G4 (hits), E4/F4 (total bases/reads), O4 (DNA fg); adapted from Zorzano et al. 2025 Supplementary Tables 1-2	Reads are the paper's own SqueezeMeta-classified 'Reported Hits'. The paper does NOT publish hit bases, so bases here are a DERIVED ESTIMATE: hits x mean read length (61.8 bp = published total bases / published total reads), i.e. hits are assumed to have the same length distribution as non-hits. That assumption is known to be wrong (our Kraken2 minQ1 hits average ~5-9x the overall mean read length), so treat this bases value as an upper-bound sketch. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Blank	metagenome	0	pooled (per 1.5 g)	sample	kraken2_q1	213	114079	504.90630975143404	back_calculated_from_1.046_Mbp_per_ng	0.0004218604439799141	0.22594092764687618	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H4 (hits), I4 (hit bases), O4 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1	Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Blank	metagenome	0	pooled (per 1.5 g)	sample	legacy_hybrid_workbook	28	114079	504.90630975143404	back_calculated_from_1.046_Mbp_per_ng	5.545583301144411e-05	0.22594092764687618	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' 'Per Read Comparison'!E (= 'Zorzano et al. 2025'!Q, from G4) paired with 'Per Base Comparison'!E (= 'Zorzano et al. 2025'!R, from I4)	DEFECT (a) AXIS INCONSISTENCY, reproduced verbatim for audit: the workbook figure takes the x value from the paper's SqueezeMeta 'Reported Hits' (col G) and the y value from OUR Kraken2 minQ1 hit bases (col I). Different classifiers: here 28 reported hits vs 213 Kraken2 hits. Provided only so the legacy figure can be reproduced; do not use for publication.
Zorzano et al. 2025	Zorzano et al.	Microbialite (2800 a)	metagenome	0	pooled (per 1.5 g)	sample	published_squeezemeta	7806	5942463	11420	measured_qubit_total_of_replicates	0.0006835376532399299	0.5203557793345008	TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' G5 (hits), E5/F5 (total bases/reads), O5 (DNA fg); adapted from Zorzano et al. 2025 Supplementary Tables 1-2	Reads are the paper's own SqueezeMeta-classified 'Reported Hits'. The paper does NOT publish hit bases, so bases here are a DERIVED ESTIMATE: hits x mean read length (761.3 bp = published total bases / published total reads), i.e. hits are assumed to have the same length distribution as non-hits. That assumption is known to be wrong (our Kraken2 minQ1 hits average ~5-9x the overall mean read length), so treat this bases value as an upper-bound sketch. DNA mass is the sum of all replicate Qubit readings in Zorzano Supplementary Table 1.
Zorzano et al. 2025	Zorzano et al.	Microbialite (2800 a)	metagenome	0	pooled (per 1.5 g)	sample	kraken2_q1	1186	2464744	11420	measured_qubit_total_of_replicates	0.00010385288966725044	0.21582697022767075	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H5 (hits), I5 (hit bases), O5 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1	Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass is the sum of all replicate Qubit readings in Zorzano Supplementary Table 1.
Zorzano et al. 2025	Zorzano et al.	Microbialite (2800 a)	metagenome	0	pooled (per 1.5 g)	sample	legacy_hybrid_workbook	7806	2464744	11420	measured_qubit_total_of_replicates	0.0006835376532399299	0.21582697022767075	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' 'Per Read Comparison'!E (= 'Zorzano et al. 2025'!Q, from G5) paired with 'Per Base Comparison'!E (= 'Zorzano et al. 2025'!R, from I5)	DEFECT (a) AXIS INCONSISTENCY, reproduced verbatim for audit: the workbook figure takes the x value from the paper's SqueezeMeta 'Reported Hits' (col G) and the y value from OUR Kraken2 minQ1 hit bases (col I). Different classifiers: here 7806 reported hits vs 1186 Kraken2 hits. Provided only so the legacy figure can be reproduced; do not use for publication.
Zorzano et al. 2025	Zorzano et al.	Microbialites (2800 a), 0.86 MGy	metagenome	0	pooled (per 1.5 g)	sample	published_squeezemeta	1150	208424	5320	measured_qubit_total_of_replicates	0.00021616541353383458	0.039177443609022554	TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' G6 (hits), E6/F6 (total bases/reads), O6 (DNA fg); adapted from Zorzano et al. 2025 Supplementary Tables 1-2	Reads are the paper's own SqueezeMeta-classified 'Reported Hits'. The paper does NOT publish hit bases, so bases here are a DERIVED ESTIMATE: hits x mean read length (181.2 bp = published total bases / published total reads), i.e. hits are assumed to have the same length distribution as non-hits. That assumption is known to be wrong (our Kraken2 minQ1 hits average ~5-9x the overall mean read length), so treat this bases value as an upper-bound sketch. DNA mass is the sum of all replicate Qubit readings in Zorzano Supplementary Table 1.
Zorzano et al. 2025	Zorzano et al.	Microbialites (2800 a), 0.86 MGy	metagenome	0	pooled (per 1.5 g)	sample	kraken2_q1	497	1938118	5320	measured_qubit_total_of_replicates	9.342105263157894e-05	0.3643078947368421	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H6 (hits), I6 (hit bases), O6 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1	Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass is the sum of all replicate Qubit readings in Zorzano Supplementary Table 1.
Zorzano et al. 2025	Zorzano et al.	Microbialites (2800 a), 0.86 MGy	metagenome	0	pooled (per 1.5 g)	sample	legacy_hybrid_workbook	1150	1938118	5320	measured_qubit_total_of_replicates	0.00021616541353383458	0.3643078947368421	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' 'Per Read Comparison'!E (= 'Zorzano et al. 2025'!Q, from G6) paired with 'Per Base Comparison'!E (= 'Zorzano et al. 2025'!R, from I6)	DEFECT (a) AXIS INCONSISTENCY, reproduced verbatim for audit: the workbook figure takes the x value from the paper's SqueezeMeta 'Reported Hits' (col G) and the y value from OUR Kraken2 minQ1 hit bases (col I). Different classifiers: here 1150 reported hits vs 497 Kraken2 hits. Provided only so the legacy figure can be reproduced; do not use for publication.
